city,lat,lon,start_date,end_date,temp_c,rh_pct,wind_speed,wind_dir,pressure_hpa,precip_mm
Delhi,28.6139,77.209,2024-10-01,2024-11-30,23.88,66.45,0.767,308.5,987.23,0.004
Mumbai,19.076,72.8777,2024-10-01,2024-11-30,27.58,72.02,0.998,9.9,1009.25,1.777
Kolkata,22.5726,88.3639,2024-10-01,2024-11-30,25.79,79.13,0.518,5.4,1010.36,2.952
Bengaluru,12.9716,77.5946,2024-10-01,2024-11-30,21.81,79.51,1.066,57.0,910.53,4.909
Hyderabad,17.385,78.4867,2024-10-01,2024-11-30,23.62,72.72,1.251,54.0,950.84,1.371
Ahmedabad,23.0225,72.5714,2024-10-01,2024-11-30,26.32,57.52,1.047,47.2,1004.64,0.604
Lucknow,26.8467,80.9462,2024-10-01,2024-11-30,24.67,69.85,0.906,281.6,997.94,0.098
Kanpur,26.4499,80.3319,2024-10-01,2024-11-30,24.98,68.49,0.779,279.6,997.72,0.061
Patna,25.5941,85.1376,2024-10-01,2024-11-30,25.22,74.88,0.47,287.7,1005.15,0.394
Varanasi,25.3176,82.9739,2024-10-01,2024-11-30,25.04,72.07,0.589,280.3,1002.3,0.2
Agra,27.1767,78.0081,2024-10-01,2024-11-30,24.84,64.4,0.57,291.5,993.34,0.014
Jaipur,26.9124,75.7873,2024-10-01,2024-11-30,23.95,54.1,0.7,313.9,961.97,0.044
Noida,28.5355,77.391,2024-10-01,2024-11-30,23.89,66.67,0.81,312.0,988.0,0.003
Gurgaon,28.4595,77.0266,2024-10-01,2024-11-30,24.06,63.68,0.782,314.1,984.36,0.005
Faridabad,28.4089,77.3178,2024-10-01,2024-11-30,24.0,66.23,0.829,315.4,988.46,0.003
Ghaziabad,28.6692,77.4538,2024-10-01,2024-11-30,23.74,67.48,0.779,306.5,987.33,0.003
Chandigarh,30.7333,76.7794,2024-10-01,2024-11-30,23.01,57.25,0.976,356.9,965.83,0.019
Bhopal,23.2599,77.4126,2024-10-01,2024-11-30,24.03,60.91,0.977,42.4,957.37,0.443
Nagpur,21.1458,79.0882,2024-10-01,2024-11-30,25.23,65.44,0.958,12.2,976.77,1.02
