city,lat,lon,no2,so2,co,o3,start_date,end_date
Delhi,28.6139,77.209,7000.8964,10551.8597,1227668.7777,5853525.7845,2024-10-01,2024-10-31
Mumbai,19.076,72.8777,6197.5976,11896.0994,1106358.3367,5906474.5606,2024-10-01,2024-10-31
Kolkata,22.5726,88.3639,3366.5294,4846.3075,1190587.7824,5830832.711,2024-10-01,2024-10-31
Chennai,13.0827,80.2707,1816.6991,6498.0742,974385.1026,5956769.9718,2024-10-01,2024-10-31
Bengaluru,12.9716,77.5946,2671.4121,-6477.6122,857893.3159,5897037.469,2024-10-01,2024-10-31
Hyderabad,17.385,78.4867,2867.7646,2700.7187,992190.4376,5892857.4127,2024-10-01,2024-10-31
Ahmedabad,23.0225,72.5714,5957.7506,15249.327,1090221.7064,5842638.8721,2024-10-01,2024-10-31
Lucknow,26.8467,80.9462,2764.5881,18023.3688,1191447.4398,5849022.5361,2024-10-01,2024-10-31
Kanpur,26.4499,80.3319,3172.3766,2966.1774,1165364.9054,5845008.9635,2024-10-01,2024-10-31
Patna,25.5941,85.1376,2601.5095,7658.9455,1198633.1001,5822583.8781,2024-10-01,2024-10-31
Varanasi,25.3176,82.9739,2832.2763,7575.2505,1197211.5167,5839752.1739,2024-10-01,2024-10-31
Agra,27.1767,78.0081,3205.2235,15938.8449,1187469.5868,5841928.9494,2024-10-01,2024-10-31
Jaipur,26.9124,75.7873,3584.5235,12535.7876,1103742.653,5812126.7424,2024-10-01,2024-10-31
Noida,28.5355,77.391,6745.6422,12886.2577,1258435.0244,5866987.5903,2024-10-01,2024-10-31
Gurgaon,28.4595,77.0266,3996.3745,-2228.5128,1096474.5569,5851819.7678,2024-10-01,2024-10-31
Faridabad,28.4089,77.3178,5425.5516,8209.188,1196932.588,5854139.8171,2024-10-01,2024-10-31
Ghaziabad,28.6692,77.4538,6413.7984,11064.6631,1270217.0953,5869985.1244,2024-10-01,2024-10-31
Chandigarh,30.7333,76.7794,3700.4285,15177.1536,1130156.4992,5923395.332,2024-10-01,2024-10-31
Bhopal,23.2599,77.4126,1481.9621,12523.7625,1064750.6032,5824115.3466,2024-10-01,2024-10-31
Nagpur,21.1458,79.0882,7482.3873,36305.5961,1070859.2001,5886943.445,2024-10-01,2024-10-31
